NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,The Stranglers,(Get a) Grip (on Yourself),,,,289,2
BAGeL Radio,A,The Stranglers,(Get a) Grip (on Yourself) -Rattus Norvegicus,,,,98,1
BAGeL Radio,A,Elvis Costello & The Attractions,(I Don't Want To Go To) Chelsea,,,,90,1
BAGeL Radio,A,Elvis Costello & The Attractions,(I Don't Want To Go To) Chelsea -This Year's Model,,,,91,1
BAGeL Radio,A,Ultimate Painting,(I've Got The) Sanctioned Blues,,,,397,3
BAGeL Radio,A,Ramases & Selket,(In My) Mind's Eye -Eiderdown Mindfog &#8211; Rubble Collection 19,,,,97,1
BAGeL Radio,A,Ramases & Selket,(In My) Mind's Eye -Eiderdown Mindfog – Rubble Collection 19,,,,84,1
BAGeL Radio,A,Car Seat Headrest,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem),,,,87,1
BAGeL Radio,A,Car Seat Headrest,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem) -Teens of Denial,,,,143,1
BAGeL Radio,A,Human League,(Keep Feeling) Fascination,,,,77,1
BAGeL Radio,A,Times New Viking,(My Head),,,,97,1
BAGeL Radio,A,Radiohead,(Nice Dream),,,,112,1
BAGeL Radio,A,Lisa LeBlanc,"(Self-Proclaimed) Voodoo Woman -Why You Wanna Leave, Runaway Queen?",,,,88,1
BAGeL Radio,A,Stray Cats,(She's) Sexy + 17 -Rant n' Rave with the Stray Cats,,,,292,2
BAGeL Radio,A,Thunderbirds Are Now!,(The Making Of...) Make History,,,,60,1
BAGeL Radio,A,The Intelligence,(They Found Me On The Back Of) The Galaxy,,,,112,1
BAGeL Radio,A,Ashtar Command,(Walking On) Landmines,,,,64,1
BAGeL Radio,A,Heaven 17,(We Don't Need This) Fascist Groove Thang -Penthouse And Pavement,,,,169,1
BAGeL Radio,A,Elvis Costello,"(What's So Funny 'Bout) Peace, Love and Understanding",,,,68,1
BAGeL Radio,A,BOAT,(to all the) Sweaty People -Tread Lightly,,,,279,2
BAGeL Radio,A,Deerhoof,+81,,,,59,1
BAGeL Radio,A,Bikeride,...And We Will Come Back As Dogs,,,,163,1
BAGeL Radio,A,The Black Keys,10 A.M. Automatic,,,,175,2
BAGeL Radio,A,Earlimart,10 Years -System Preferences,,,,189,1
BAGeL Radio,A,What's The Matter Here?,"10,000 Maniacs-In My Tribe",,,,103,1
BAGeL Radio,A,The Cure,10.15 Saturday Night,,,,101,1
BAGeL Radio,A,The Cure,10.15 Saturday Night -Boys Don't Cry,,,,101,1
BAGeL Radio,A,Los Blancos,100 AD,,,,396,4
BAGeL Radio,A,Los Blancos,100 AD -Detholiad O Ganeuon Traddodiadol Cymreig [EP],,,,363,3
BAGeL Radio,A,Sonic Youth,100%,,,,241,2
BAGeL Radio,A,Wiley,100% Publishing -100% Publishing,,,,157,1
BAGeL Radio,A,IDLES,1049 Gotho,,,,108,1
BAGeL Radio,A,The Grates,19 20 20,,,,129,1
BAGeL Radio,A,Broken Social Scene,1972,,,,122,1
BAGeL Radio,A,Redd Kross,1976 -Third Eye,,,,106,1
BAGeL Radio,A,Smashing Pumpkins,1979,,,,193,1
BAGeL Radio,A,Kyle Craft,2 Ugly 4 NY -Showboat Honey,,,,133,1
BAGeL Radio,A,It's Time To Honor Ghouls,20 Minute Loop-Yawn + House = Explosion,,,,97,1
BAGeL Radio,A,Kitten Forever,200x -7 Hearts,,,,140,2
BAGeL Radio,A,Sunflower Bean,2013,,,,59,1
BAGeL Radio,A,Cage The Elephant,2024 -Thank You Happy Birthday,,,,179,1
BAGeL Radio,A,of Montreal,20th Century Schizofriendic Revengoid-Man,,,,133,1
BAGeL Radio,A,of Montreal,20th Century Schizofriendic Revengoid-Man -UR FUN,,,,173,1
BAGeL Radio,A,Mudhoney,21st Century Pharisees,,,,225,2
BAGeL Radio,A,Mudhoney,21st Century Pharisees -Digital Garbage,,,,166,1
BAGeL Radio,A,Kid Congo & The Pink Monkey Birds,222,,,,384,3
BAGeL Radio,A,The Denzels,222,,,,94,1
BAGeL Radio,A,Gap Dream,24 Hour Token -This Is Gap Dream,,,,248,2
BAGeL Radio,A,GRMLN,27 Kids -Discovery [EP],,,,88,1
BAGeL Radio,A,Gliss,29 Acts Of Love -Devotion Implosion,,,,175,1
BAGeL Radio,A,Melenas,29 Grados,,,,116,1
BAGeL Radio,A,Mission Of Burma,2wice,,,,89,1
BAGeL Radio,A,Mission Of Burma,2wice -The Obliterati,,,,108,1
BAGeL Radio,A,Melenas,3 Segundos -Dias Raros,,,,841,6
BAGeL Radio,A,School of Fish,3 Strange Days (LP Version) -3 Strange Days (Single),,,,354,2
BAGeL Radio,A,Cat Power,"3,6,9 -Sun",,,,195,1
