NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,Delusions of Grandeur,Bad Waitress-No Taste,,,,82,1
BAGeL Radio,A,Yeah Yeah Yeah,Bad Waitress-No Taste,,,,71,1
BAGeL Radio,A,Evans The Death,Bad Year -Expect Delays,,,,99,1
BAGeL Radio,A,Gruff Rhys,Bae Bae Bae -PANG!,,,,188,1
BAGeL Radio,A,Party Of One,Baghdad Boogie -Caught The Blast,,,,182,1
BAGeL Radio,A,Redd Kross,Ballad Of A Love Doll -Neurotica,,,,123,1
BAGeL Radio,A,Trick Mammoth,Baltimore -Floristry,,,,115,1
BAGeL Radio,A,Hinds,Bamboo -Demo,,,,178,2
BAGeL Radio,A,Hot Hot Heat,Bandages -Make Up The Breakdown,,,,124,1
BAGeL Radio,A,Lab Partners,Barn Burner -Moonlight Music,,,,102,1
BAGeL Radio,A,50FootWave,Bath White -Bath White,,,,125,1
BAGeL Radio,A,Centipedes,"Baxter Dury, Etienne de Crécy & Delilah Holliday-B.E.D.",,,,69,1
BAGeL Radio,A,The Wedding Present,Be Honest -Bizarro,,,,103,1
BAGeL Radio,A,Maxi's World,Be Honest -Elliptical Peach,,,,164,1
BAGeL Radio,A,The Mango Furs,Be In The Flow -Inner Migrations,,,,95,1
BAGeL Radio,A,Frightened Rabbit,Be Less Rude -...Sing The Greys,,,,68,1
BAGeL Radio,A,Yo La Tengo,Be Thankful For What You Got -Little Honda EP,,,,106,1
BAGeL Radio,A,BOAT,Be as Good as You Want to Be -Tread Lightly,,,,197,2
BAGeL Radio,A,The Wedding Present,"Bear -Going, Going...",,,,108,1
BAGeL Radio,A,The Antlers,Bear -Hospice,,,,122,1
BAGeL Radio,A,Brakes,Beatific Visions -The Beatific Visions,,,,96,1
BAGeL Radio,A,Oscar,Beautiful Words -Beautiful Words,,,,145,1
BAGeL Radio,A,Sin Fang,Because Of The Blood -Summer Echoes,,,,150,1
BAGeL Radio,A,Boat,Bedhead  - Pip Blom,,,,386,3
BAGeL Radio,A,Pip Blom,Bedhead -Boat,,,,73,1
BAGeL Radio,A,Broadcast,Before We Begin -Haha Sound,,,,90,1
BAGeL Radio,A,Sloan,Believe In Me -Parallel Play,,,,106,1
BAGeL Radio,A,Skygreen Leopards,Belle of the Woodsman's Autumn Ball -Life and Love in Sparrow's Meadow,,,,95,1
BAGeL Radio,A,Valentine,Ben Franklin  - Snail Mail,,,,199,2
BAGeL Radio,A,Snail Mail,Ben Franklin -Valentine,,,,523,5
BAGeL Radio,A,Future Of The Left,Beneath the Waves an Ocean -The Plot Against Common Sense,,,,120,1
BAGeL Radio,A,The Fiery Furnaces,Benton Harbor Blues (remix) -Insound and Griffin Technology Present Pushing Product 7,,,,149,1
BAGeL Radio,A,Mattiel,Berlin Weekend -Satis Factory,,,,78,1
BAGeL Radio,A,Mattafix,Big City Life -Signs of a Struggle,,,,139,1
BAGeL Radio,A,The Lemonheads,Big Gay Heart -Come On Feel The Lemonheads,,,,105,1
BAGeL Radio,A,Keep on Truckin',Big Star  - Surfbort,,,,370,3
BAGeL Radio,A,Surfbort,Big Star -Keep on Truckin',,,,531,5
BAGeL Radio,A,Momma,Bio Hazard -Two Of Me,,,,248,2
BAGeL Radio,A,Anthonie Tonnon,Bird Brains -2013 Rough Mixes,,,,96,1
BAGeL Radio,A,Anthonie Tonnon,Bird Brains -Successor,,,,118,1
BAGeL Radio,A,The Sugarcubes,Birthday -Life's Too Good,,,,99,1
BAGeL Radio,A,PJ Harvey,Bitter Branches -Let England Shake,,,,118,1
BAGeL Radio,A,The Hoodoo Gurus,Bittersweet -Mars Needs Guitars!,,,,127,1
BAGeL Radio,A,Alamo Race Track,Black Cat John Brown -Black Cat John Brown,,,,179,1
BAGeL Radio,A,Young Rival,Black Is Good -Stay Young,,,,138,1
BAGeL Radio,A,Preoccupation,Black Marble-Fast Idol ,,,,68,1
BAGeL Radio,A,Try,Black Marble-Fast Idol ,,,,93,1
BAGeL Radio,A,Catherine Wheel,Black Metallic -Ferment,,,,143,1
BAGeL Radio,A,The Black Heart Death Cult,Black Rainbow -The Black Heart Death Cult,,,,110,1
BAGeL Radio,A,The Kills,Black Rooster -Keep On Your Mean Side,,,,145,1
BAGeL Radio,A,Radiohead,Black Star -The Bends,,,,108,1
BAGeL Radio,A,Kings Of Leon,Black Thumbnail -Because Of The Times,,,,92,1
BAGeL Radio,A,The Dig,Black Water -Midnight Flowers,,,,166,1
BAGeL Radio,A,Sympathy For Life,Black Widow Spider  - Parquet Courts,,,,207,2
BAGeL Radio,A,Parquet Courts,Black Widow Spider -Sympathy For Life,,,,595,6
BAGeL Radio,A,Parquet Courts,Black and White (7-Inch Version) -Sunbathing Animal,,,,555,4
BAGeL Radio,A,Port Juvee,Bleached Out Soda Pop -Crimewave,,,,75,1
BAGeL Radio,A,Sonny Pete,Bleeding the Walls -Where The Shadows Pass (Odes to Death & Transience),,,,143,1
BAGeL Radio,A,Press,Bless This Mess -Inteotwijteoae,,,,131,1
BAGeL Radio,A,Hunting For Witches,Bloc Party-A Weekend In The City,,,,213,2
BAGeL Radio,A,The Toy Trucks,Blood In The Sand -Rockets Bells and Poetry,,,,128,1
BAGeL Radio,A,The Black Angels,Bloodhounds On My Trail -Passover,,,,411,3
BAGeL Radio,A,Phooey!,Bloody Mary Me Marie  - Latvian Radio,,,,274,2
BAGeL Radio,A,Latvian Radio,Bloody Mary Me Marie -Phooey!,,,,542,5
BAGeL Radio,A,Yeasayer,Blue Paper -Fragrant World,,,,122,1
BAGeL Radio,A,Noah And The Whale,Blue Skies -The First Days Of Spring,,,,87,1
BAGeL Radio,A,Ghost Wave,Blues Signal '79 -Radio Norfolk,,,,127,1
BAGeL Radio,A,Mission Of Burma,Blunder -The Sound The Speed The Light,,,,78,1
BAGeL Radio,A,Girls & Boys,Blur-Parklife,,,,130,1
BAGeL Radio,A,Blank Dogs,Blurred Tonight -Land And Fixed,,,,105,1
BAGeL Radio,A,(Sandy) Alex G,Bobby -Rocket,,,,125,1
BAGeL Radio,A,Black Marble,Bodies -Fast Idol ,,,,516,4
BAGeL Radio,A,Gadzooks Vol. 1 ,Bogie  - Caleb Landry Jones,,,,195,2
BAGeL Radio,A,Caleb Landry Jones,Bogie -Gadzooks Vol. 1 ,,,,536,5
BAGeL Radio,A,The Police,Bombs Away -Zenyatta Mondatta,,,,118,1
BAGeL Radio,A,Pixies,Bone Machine -Surfer Rosa,,,,167,1
BAGeL Radio,A,The Mango Furs,Bones -Inner Migrations,,,,92,1
BAGeL Radio,A,Simple Minds,Book of Brilliant Things -Sparkle in the Rain,,,,130,1
BAGeL Radio,A,Hooton Tennis Club,Bootcut Jimmy The G -Big Box Of Chocolates,,,,88,1
BAGeL Radio,A,Our Girl,Boring (tedit) -Stranger Today,,,,156,1
BAGeL Radio,A,Porridge Radio,Born Confused -Every Bad,,,,117,1
BAGeL Radio,A,Black Moth Super Rainbow,Born On A Day The Sun Didn't Rise -Eating Us,,,,164,1
BAGeL Radio,A,The Thermals,Born To Kill -Desperate Ground,,,,86,1
BAGeL Radio,A,Parquet Courts,Borrowed Time -Light Up Gold,,,,70,1
BAGeL Radio,A,...EP,"Bottle Episode  - Mandy, Indiana",,,,339,3
BAGeL Radio,A,"Mandy, Indiana",Bottle Episode -...EP,,,,468,4
BAGeL Radio,A,Pavement,Box Elder -Westing (By Musket And Sextant),,,,154,1
BAGeL Radio,A,Book Of Love,Boy -Book Of Love,,,,94,1
BAGeL Radio,A,FACS,Boy -Void Moments,,,,262,2
BAGeL Radio,A,The Cure,Boys Don't Cry -Boys Don't Cry,,,,112,1
BAGeL Radio,A,Fontaines D.C.,Boys In The Better Land (Radio Edit) -Dogrel,,,,118,1
BAGeL Radio,A,Cloud Cult,Brain Gateway -The Meaning of 8,,,,137,1
BAGeL Radio,A,The Peep Tempel,Brains -Joy,,,,126,1
BAGeL Radio,A,Spray Paint,Brat Beater -Feel the Clamps,,,,115,1
BAGeL Radio,A,WIXIW,Brats  - Liars,,,,312,3
BAGeL Radio,A,Liars,Brats -WIXIW,,,,60,1
BAGeL Radio,A,Fugazi,Break -End Hits,,,,76,1
BAGeL Radio,A,Iggy Pop,Break Into Your Heart -Post Pop Depression,,,,178,1
BAGeL Radio,A,East Village,Break Your Neck -Hotrod Hotel,,,,190,1
BAGeL Radio,A,Dntel,Breakfast In Bed (Ft. Conor Oberst) -Dumb Luck,,,,98,1
BAGeL Radio,A,Juan Wauters,Breathing (Featuring Carmelle) -N.A.P. North American Poetry,,,,162,1
BAGeL Radio,A,Nirvana,Breed -Nevermind,,,,75,1
BAGeL Radio,A,Pixies,Brick Is Red -Surfer Rosa,,,,86,1
BAGeL Radio,A,Echo & the Bunnymen,Bring On The Dancing Horses -Songs To Learn & Sing,,,,181,1
BAGeL Radio,A,Francis of Delirium,Broken -All Change [EP],,,,186,2
BAGeL Radio,A,Jesse Woods,Broken Bottle -Get Your Burdens Lifted,,,,120,1
BAGeL Radio,A,Chemtrails,Brother Connor -The Peculiar Smell of the Inevitable,,,,101,1
BAGeL Radio,A,The Kumari,Bundy's Butterfly -The Kumari,,,,129,1
BAGeL Radio,A,Fisher King,Burial (Single Edit)  - Furrows,,,,265,2
BAGeL Radio,A,Furrows,Burial (Single Edit) -Fisher King,,,,516,5
BAGeL Radio,A,The Grates,"Burn Bridges -Teeth Lost, Hearts Won",,,,86,1
BAGeL Radio,A,Subliminal Girls,Burn Koko -Burn Koko (Single),,,,108,1
BAGeL Radio,A,Radiohead,Burn The Witch -A Moon Shaped Pool,,,,88,1
BAGeL Radio,A,Les Manteez,Busy Fiction Makers -Busy Fiction Makers (single),,,,243,2
BAGeL Radio,A,The Sun Days,Busy People -Album,,,,183,1
BAGeL Radio,A,Screaming Trees,Butterfly -Sweet Oblivion,,,,103,1
BAGeL Radio,A,The Go! Team,Buy Nothing Day -Rolling Blackouts,,,,119,1
BAGeL Radio,A,Particle Wave,By The Waterside -Painting On Shadows,,,,101,1
BAGeL Radio,A,Nobunny,Bye Bye Roxie -Secret Songs: Reflections From The Ear Mirror,,,,170,1
BAGeL Radio,A,Pixies,Cactus -Surfer Rosa,,,,93,1
BAGeL Radio,A,Frankie Cosmos,Cafeteria -Vessel,,,,93,1
BAGeL Radio,A,Bogie,Caleb Landry Jones-Gadzooks Vol. 1 ,,,,89,1
BAGeL Radio,A,Kyle Andrews,Call And Fade -Real Blasty,,,,159,1
